session_id,episode_id,order,expectation,friendliness,violence,group
S01,E1,1,2,1,0,A
S01,E1,2,0,3,1,A
S01,E1,3,1,1,0,A
S01,E1,4,3,3,2,A
S01,E1,5,2,3,0,A
S01,E1,6,3,2,2,A
S01,E1,7,2,1,3,A
S01,E1,8,2,2,2,A
S01,E1,9,1,3,2,A
S01,E1,10,0,1,2,A
S02,E1,1,3,2,2,B
S02,E1,2,1,3,3,B
S02,E1,3,2,2,1,B
S02,E1,4,1,1,3,B
S02,E1,5,3,2,3,B
S02,E1,6,3,2,2,B
S02,E1,7,1,1,1,B
S02,E1,8,1,1,0,B
S02,E1,9,2,3,1,B
S02,E1,10,3,1,3,B
S03,E1,1,1,1,1,B
S03,E1,2,1,1,1,B
S03,E1,3,0,1,3,B
S03,E1,4,0,3,3,B
S03,E1,5,2,2,1,B
S03,E1,6,3,1,2,B
S03,E1,7,3,2,2,B
S03,E1,8,3,1,3,B
S03,E1,9,2,2,2,B
S03,E1,10,2,3,3,B
S04,E1,1,1,1,0,A
S04,E1,2,3,2,0,A
S04,E1,3,2,3,1,A
S04,E1,4,3,3,2,A
S04,E1,5,1,3,2,A
S04,E1,6,0,2,3,A
S04,E1,7,3,3,3,A
S04,E1,8,3,1,1,A
S04,E1,9,2,3,1,A
S04,E1,10,1,2,2,A
S05,E1,1,2,3,0,A
S05,E1,2,1,0,2,A
S05,E1,3,3,1,1,A
S05,E1,4,2,2,1,A
S05,E1,5,2,2,3,A
S05,E1,6,1,2,3,A
S05,E1,7,2,2,2,A
S05,E1,8,2,3,2,A
S05,E1,9,3,3,2,A
S05,E1,10,3,3,1,A
S06,E1,1,2,2,2,B
S06,E1,2,3,3,3,B
S06,E1,3,2,2,2,B
S06,E1,4,2,1,3,B
S06,E1,5,0,3,2,B
S06,E1,6,0,3,3,B
S06,E1,7,3,3,2,B
S06,E1,8,2,2,1,B
S06,E1,9,3,1,1,B
S06,E1,10,0,1,2,B
S07,E1,1,1,1,3,B
S07,E1,2,2,2,2,B
S07,E1,3,2,2,2,B
S07,E1,4,1,2,1,B
S07,E1,5,2,3,0,B
S07,E1,6,2,1,3,B
S07,E1,7,1,3,2,B
S07,E1,8,2,2,2,B
S07,E1,9,2,2,3,B
S07,E1,10,3,3,1,B
S08,E1,1,2,3,3,A
S08,E1,2,1,2,1,A
S08,E1,3,1,1,3,A
S08,E1,4,3,3,3,A
S08,E1,5,2,3,1,A
S08,E1,6,0,0,3,A
S08,E1,7,3,2,3,A
S08,E1,8,3,0,3,A
S08,E1,9,1,3,2,A
S08,E1,10,2,2,3,A
S09,E1,1,1,3,0,A
S09,E1,2,1,1,2,A
S09,E1,3,1,1,3,A
S09,E1,4,3,3,3,A
S09,E1,5,2,1,2,A
S09,E1,6,2,3,2,A
S09,E1,7,3,2,1,A
S09,E1,8,3,3,3,A
S09,E1,9,1,3,1,A
S09,E1,10,1,3,1,A
S10,E1,1,2,3,0,B
S10,E1,2,1,1,0,B
S10,E1,3,3,3,0,B
S10,E1,4,0,1,1,B
S10,E1,5,3,3,3,B
S10,E1,6,2,1,3,B
S10,E1,7,2,2,2,B
S10,E1,8,3,2,2,B
S10,E1,9,1,1,3,B
S10,E1,10,3,3,2,B
S11,E1,1,3,2,0,B
S11,E1,2,1,1,2,B
S11,E1,3,3,3,1,B
S11,E1,4,2,3,0,B
S11,E1,5,3,0,3,B
S11,E1,6,3,1,2,B
S11,E1,7,0,1,1,B
S11,E1,8,2,1,0,B
S11,E1,9,2,3,2,B
S11,E1,10,2,1,1,B
S12,E1,1,2,1,1,B
S12,E1,2,2,3,2,B
S12,E1,3,2,2,2,B
S12,E1,4,2,2,3,B
S12,E1,5,1,3,3,B
S12,E1,6,2,2,3,B
S12,E1,7,1,2,0,B
S12,E1,8,3,1,2,B
S12,E1,9,1,2,3,B
S12,E1,10,1,0,2,B
S13,E1,1,1,1,3,A
S13,E1,2,2,1,1,A
S13,E1,3,2,3,2,A
S13,E1,4,1,0,1,A
S13,E1,5,2,0,2,A
S13,E1,6,1,3,1,A
S13,E1,7,2,2,1,A
S13,E1,8,2,1,2,A
S13,E1,9,2,3,1,A
S13,E1,10,3,2,1,A
S14,E1,1,3,3,2,A
S14,E1,2,1,2,3,A
S14,E1,3,3,2,3,A
S14,E1,4,2,3,3,A
S14,E1,5,3,0,2,A
S14,E1,6,2,1,1,A
S14,E1,7,1,0,2,A
S14,E1,8,2,1,1,A
S14,E1,9,1,0,1,A
S14,E1,10,1,0,1,A
S15,E1,1,1,3,3,B
S15,E1,2,2,1,1,B
S15,E1,3,1,3,3,B
S15,E1,4,3,3,0,B
S15,E1,5,2,3,0,B
S15,E1,6,3,3,1,B
S15,E1,7,3,3,1,B
S15,E1,8,0,2,2,B
S15,E1,9,2,0,0,B
S15,E1,10,3,2,2,B
S16,E1,1,3,0,0,B
S16,E1,2,3,1,2,B
S16,E1,3,1,3,2,B
S16,E1,4,0,1,3,B
S16,E1,5,2,3,0,B
S16,E1,6,2,1,3,B
S16,E1,7,1,3,1,B
S16,E1,8,3,1,1,B
S16,E1,9,0,1,3,B
S16,E1,10,2,1,0,B
S17,E1,1,3,1,3,B
S17,E1,2,3,2,3,B
S17,E1,3,2,2,1,B
S17,E1,4,1,2,2,B
S17,E1,5,1,2,1,B
S17,E1,6,2,1,1,B
S17,E1,7,3,2,2,B
S17,E1,8,3,0,3,B
S17,E1,9,0,3,3,B
S17,E1,10,3,2,3,B
S18,E1,1,1,0,3,A
S18,E1,2,0,3,2,A
S18,E1,3,2,2,3,A
S18,E1,4,1,2,2,A
S18,E1,5,2,1,3,A
S18,E1,6,1,1,3,A
S18,E1,7,2,2,1,A
S18,E1,8,1,3,2,A
S18,E1,9,2,1,2,A
S18,E1,10,0,2,2,A
