session_id,episode_id,order,motor_masculinity,labor_masculinity,gendered_swearing,minority_exclusion,gender_double_standard,teacher_counterexample,group
S01,E1,1,1,0,1,0,0,0,A
S01,E1,2,0,0,1,0,0,0,A
S01,E1,3,0,0,0,1,0,0,A
S01,E1,4,1,0,1,1,0,0,A
S01,E1,5,1,0,0,1,1,1,A
S01,E1,6,1,1,1,0,1,1,A
S01,E1,7,0,0,0,1,0,1,A
S01,E1,8,0,1,1,0,1,1,A
S01,E1,9,0,1,0,1,1,1,A
S01,E1,10,0,1,1,1,0,1,A
S02,E1,1,0,0,1,0,0,1,B
S02,E1,2,0,0,1,1,0,1,B
S02,E1,3,1,0,1,0,0,0,B
S02,E1,4,1,1,1,0,0,1,B
S02,E1,5,1,1,0,0,0,1,B
S02,E1,6,0,1,1,1,1,1,B
S02,E1,7,0,0,1,1,0,1,B
S02,E1,8,0,0,0,0,0,0,B
S02,E1,9,0,0,0,0,0,1,B
S02,E1,10,0,1,1,0,0,0,B
S03,E1,1,0,1,1,0,1,0,B
S03,E1,2,0,1,0,1,1,1,B
S03,E1,3,1,0,0,0,0,1,B
S03,E1,4,0,0,0,0,0,1,B
S03,E1,5,0,0,0,1,0,0,B
S03,E1,6,0,1,0,1,0,0,B
S03,E1,7,0,0,0,0,1,0,B
S03,E1,8,0,0,0,1,0,0,B
S03,E1,9,0,1,0,0,0,1,B
S03,E1,10,1,0,0,0,0,1,B
S04,E1,1,1,0,0,0,1,0,A
S04,E1,2,0,0,0,1,0,1,A
S04,E1,3,1,0,1,1,0,0,A
S04,E1,4,0,0,1,1,0,0,A
S04,E1,5,1,0,0,1,1,0,A
S04,E1,6,1,1,1,0,0,0,A
S04,E1,7,0,0,0,0,0,0,A
S04,E1,8,0,0,1,0,1,0,A
S04,E1,9,0,0,0,1,1,1,A
S04,E1,10,0,0,1,0,0,0,A
S05,E1,1,0,0,0,1,0,0,A
S05,E1,2,0,1,0,0,1,0,A
S05,E1,3,0,0,1,0,0,1,A
S05,E1,4,0,1,1,0,0,0,A
S05,E1,5,0,0,1,1,0,0,A
S05,E1,6,1,1,1,1,1,0,A
S05,E1,7,1,0,1,1,0,0,A
S05,E1,8,1,1,1,0,0,0,A
S05,E1,9,1,1,1,0,0,0,A
S05,E1,10,1,0,0,0,0,1,A
